eventId,eventOrdinal,eventType,timestampMillis,timestamp,durationMillis,lineageStart,lineageIdentifiers/0,componentId,componentType,componentName,entityId,entityType,entitySize,updatedAttributes/absolute.path,updatedAttributes/path,updatedAttributes/filename,updatedAttributes/file.group,updatedAttributes/file.lastModifiedTime,updatedAttributes/file.creationTime,updatedAttributes/file.lastAccessTime,updatedAttributes/file.owner,updatedAttributes/file.size,updatedAttributes/file.permissions,updatedAttributes/uuid,actorHostname,contentURI,previousContentURI,platform,application,details,previousAttributes/absolute.path,previousAttributes/path,previousAttributes/filename,previousAttributes/file.group,previousAttributes/file.lastModifiedTime,previousAttributes/file.creationTime,previousAttributes/file.lastAccessTime,previousAttributes/file.owner,previousAttributes/file.size,previousAttributes/file.permissions,previousAttributes/uuid,previousEntitySize,updatedAttributes/RouteText.Route,parentIds/0,childIds/0,childIds/1,childIds/2,lineageIdentifiers/1,updatedAttributes/RouteText.Group,updatedAttributes/Transfer-Encoding,updatedAttributes/invokehttp.tx.id,updatedAttributes/Server,updatedAttributes/invokehttp.status.code,updatedAttributes/Connection,updatedAttributes/mime.type,updatedAttributes/Date,updatedAttributes/invokehttp.request.url,updatedAttributes/access-control-allow-origin,updatedAttributes/OkHttp-Received-Millis,updatedAttributes/OkHttp-Sent-Millis,updatedAttributes/invokehttp.status.message,updatedAttributes/Content-Type,transitUri,previousAttributes/Transfer-Encoding,previousAttributes/invokehttp.tx.id,previousAttributes/Server,previousAttributes/invokehttp.status.code,previousAttributes/Connection,previousAttributes/mime.type,previousAttributes/Date,previousAttributes/invokehttp.request.url,previousAttributes/access-control-allow-origin,previousAttributes/OkHttp-Received-Millis,previousAttributes/OkHttp-Sent-Millis,previousAttributes/invokehttp.status.message,previousAttributes/Content-Type,updatedAttributes/reporting.task.transaction.id,previousAttributes/reporting.task.transaction.id
7211e7db-56b5-45ad-be18-b388f5b66fe7,12678,CONTENT_MODIFIED,1.47079E+12,2016-08-10T00:07:41.661Z,0,1.47079E+12,19a75a61-6ed5-405b-8661-ffdbd2832b5a,277173b9-7da8-46b0-a8a4-fb19542d43b7,ReplaceText,Ensure Header Line,19a75a61-6ed5-405b-8661-ffdbd2832b5a,org.apache.nifi.flowfile.FlowFile,48876,,,,,,,,,,,,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12678/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12678/content/input,nifi,NiFi Flow,,,./,1.31721E+15,,,,,,,,19a75a61-6ed5-405b-8661-ffdbd2832b5a,48875,,,,,,,,,,,,,,,,,,,,,,chunked,ea313e62-86c4-476a-b90a-c79a6d7538a2,nginx,200,keep-alive,application/json; charset=utf-8,"Wed, 10 Aug 2016 00:07:41 GMT",http://api.randomuser.me/0.6/?format=csv&nat=us&results=100,*,1.47079E+12,1.47079E+12,OK,application/json; charset=utf-8,,
9e80c0f9-29a2-4d94-ae6e-de099c422d7b,12679,ATTRIBUTES_MODIFIED,1.47079E+12,2016-08-10T00:07:41.671Z,-1,1.47079E+12,19a75a61-6ed5-405b-8661-ffdbd2832b5a,f58c6fe9-c100-4a3c-bded-7bb83ad685a7,UpdateAttribute,Assign Unique Filename,19a75a61-6ed5-405b-8661-ffdbd2832b5a,org.apache.nifi.flowfile.FlowFile,48876,,,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,,,,,,,,,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12679/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12679/content/input,nifi,NiFi Flow,,,./,1.31721E+15,,,,,,,,19a75a61-6ed5-405b-8661-ffdbd2832b5a,48876,,,,,,,,,,,,,,,,,,,,,,chunked,ea313e62-86c4-476a-b90a-c79a6d7538a2,nginx,200,keep-alive,application/json; charset=utf-8,"Wed, 10 Aug 2016 00:07:41 GMT",http://api.randomuser.me/0.6/?format=csv&nat=us&results=100,*,1.47079E+12,1.47079E+12,OK,application/json; charset=utf-8,,
5528b7eb-df88-4702-ba6f-c569607b85a0,12680,SEND,1.47079E+12,2016-08-10T00:07:41.683Z,2,1.47079E+12,19a75a61-6ed5-405b-8661-ffdbd2832b5a,ef943de0-2eb4-43e0-a5cf-2a6863cc78eb,PutFile,PutFile,19a75a61-6ed5-405b-8661-ffdbd2832b5a,org.apache.nifi.flowfile.FlowFile,48876,,,,,,,,,,,,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12680/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12680/content/input,nifi,NiFi Flow,,,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,,,,,,,,19a75a61-6ed5-405b-8661-ffdbd2832b5a,48876,,,,,,,,,,,,,,,,,,,,,file:/Users/wsong/Desktop/People%20csv/data/in/csv/19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,chunked,ea313e62-86c4-476a-b90a-c79a6d7538a2,nginx,200,keep-alive,application/json; charset=utf-8,"Wed, 10 Aug 2016 00:07:41 GMT",http://api.randomuser.me/0.6/?format=csv&nat=us&results=100,*,1.47079E+12,1.47079E+12,OK,application/json; charset=utf-8,,
03987394-5257-4abf-853f-5940fea050fe,12681,DROP,1.47079E+12,2016-08-10T00:07:41.684Z,-1,1.47079E+12,19a75a61-6ed5-405b-8661-ffdbd2832b5a,ef943de0-2eb4-43e0-a5cf-2a6863cc78eb,PutFile,PutFile,19a75a61-6ed5-405b-8661-ffdbd2832b5a,org.apache.nifi.flowfile.FlowFile,48876,,,,,,,,,,,,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12681/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12681/content/input,nifi,NiFi Flow,Auto-Terminated by success Relationship,,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,,,,,,,,19a75a61-6ed5-405b-8661-ffdbd2832b5a,48876,,,,,,,,,,,,,,,,,,,,,,chunked,ea313e62-86c4-476a-b90a-c79a6d7538a2,nginx,200,keep-alive,application/json; charset=utf-8,"Wed, 10 Aug 2016 00:07:41 GMT",http://api.randomuser.me/0.6/?format=csv&nat=us&results=100,*,1.47079E+12,1.47079E+12,OK,application/json; charset=utf-8,,
b1d8abdc-1c16-4a08-aa0f-86bf98e1b134,12682,CREATE,1.47079E+12,2016-08-10T00:07:43.600Z,-1,1.47079E+12,59e71257-43a5-481f-ba68-5a5900e5855d,c8f8b9a0-c8a1-4f9c-9f0d-9b2b809454d8,ListFile,ListFile,59e71257-43a5-481f-ba68-5a5900e5855d,org.apache.nifi.flowfile.FlowFile,0,/Users/wsong/Desktop/People csv/data/in/csv/,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,staff,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,wsong,48876,rw-r--r--,59e71257-43a5-481f-ba68-5a5900e5855d,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12682/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12682/content/input,nifi,NiFi Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8f2aa84-f359-4052-a056-dfaed43c8e1b,12683,CONTENT_MODIFIED,1.47079E+12,2016-08-10T00:07:43.636Z,35,1.47079E+12,59e71257-43a5-481f-ba68-5a5900e5855d,e73b710c-59e2-4e78-9586-ade150d14a82,FetchFile,FetchFile,59e71257-43a5-481f-ba68-5a5900e5855d,org.apache.nifi.flowfile.FlowFile,48876,,,,,,,,,,,,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12683/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12683/content/input,nifi,NiFi Flow,Replaced content of FlowFile with contents of file:/Users/wsong/Desktop/People%20csv/data/in/csv/19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,/Users/wsong/Desktop/People csv/data/in/csv/,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,staff,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,wsong,48876,rw-r--r--,59e71257-43a5-481f-ba68-5a5900e5855d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25e1e326-a522-48b3-93fe-faef2542521b,12684,FORK,1.47079E+12,2016-08-10T00:07:43.641Z,-1,1.47079E+12,59e71257-43a5-481f-ba68-5a5900e5855d,d55f4dec-eab0-4877-aded-0315313bf6cf,RouteText,"Strip Header, Group by Gender",59e71257-43a5-481f-ba68-5a5900e5855d,org.apache.nifi.flowfile.FlowFile,48876,,,,,,,,,,,,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12684/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12684/content/input,nifi,NiFi Flow,,/Users/wsong/Desktop/People csv/data/in/csv/,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,staff,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,wsong,48876,rw-r--r--,59e71257-43a5-481f-ba68-5a5900e5855d,48876,original,59e71257-43a5-481f-ba68-5a5900e5855d,938d4e7a-8190-416f-abdd-e31f536021c9,537208d9-0fdb-4c30-8866-969ee58046b8,491173bb-c2fd-4702-a67a-bdd20347dfeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8dff33e0-9558-4f7e-ad3b-9a223bbf1bd5,12685,ROUTE,1.47079E+12,2016-08-10T00:07:43.643Z,-1,1.47079E+12,938d4e7a-8190-416f-abdd-e31f536021c9,d55f4dec-eab0-4877-aded-0315313bf6cf,RouteText,"Strip Header, Group by Gender",938d4e7a-8190-416f-abdd-e31f536021c9,org.apache.nifi.flowfile.FlowFile,165,/Users/wsong/Desktop/People csv/data/in/csv/,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,staff,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,wsong,48876,rw-r--r--,938d4e7a-8190-416f-abdd-e31f536021c9,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12685/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12685/content/input,nifi,NiFi Flow,,,,,,,,,,,,,,header line,,,,,59e71257-43a5-481f-ba68-5a5900e5855d,#gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a99b09-38b4-46ae-b94b-dd667c3634b2,12686,ROUTE,1.47079E+12,2016-08-10T00:07:43.643Z,-1,1.47079E+12,491173bb-c2fd-4702-a67a-bdd20347dfeb,d55f4dec-eab0-4877-aded-0315313bf6cf,RouteText,"Strip Header, Group by Gender",491173bb-c2fd-4702-a67a-bdd20347dfeb,org.apache.nifi.flowfile.FlowFile,23574,/Users/wsong/Desktop/People csv/data/in/csv/,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,staff,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,wsong,48876,rw-r--r--,491173bb-c2fd-4702-a67a-bdd20347dfeb,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12686/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12686/content/input,nifi,NiFi Flow,,,,,,,,,,,,,,unmatched,,,,,59e71257-43a5-481f-ba68-5a5900e5855d,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5efc3454-0a18-456c-8414-43a7af255c23,12687,ROUTE,1.47079E+12,2016-08-10T00:07:43.643Z,-1,1.47079E+12,537208d9-0fdb-4c30-8866-969ee58046b8,d55f4dec-eab0-4877-aded-0315313bf6cf,RouteText,"Strip Header, Group by Gender",537208d9-0fdb-4c30-8866-969ee58046b8,org.apache.nifi.flowfile.FlowFile,25137,/Users/wsong/Desktop/People csv/data/in/csv/,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,staff,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,wsong,48876,rw-r--r--,537208d9-0fdb-4c30-8866-969ee58046b8,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12687/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12687/content/input,nifi,NiFi Flow,,,,,,,,,,,,,,unmatched,,,,,59e71257-43a5-481f-ba68-5a5900e5855d,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa15077-3317-4e94-a870-4239693787bb,12688,ROUTE,1.47079E+12,2016-08-10T00:07:43.643Z,-1,1.47079E+12,59e71257-43a5-481f-ba68-5a5900e5855d,d55f4dec-eab0-4877-aded-0315313bf6cf,RouteText,"Strip Header, Group by Gender",59e71257-43a5-481f-ba68-5a5900e5855d,org.apache.nifi.flowfile.FlowFile,48876,,,,,,,,,,,,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12688/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12688/content/input,nifi,NiFi Flow,,/Users/wsong/Desktop/People csv/data/in/csv/,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,staff,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,wsong,48876,rw-r--r--,59e71257-43a5-481f-ba68-5a5900e5855d,48876,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58916de3-2fc6-4e88-a151-24269b2504fd,12689,DROP,1.47079E+12,2016-08-10T00:07:43.643Z,-1,1.47079E+12,59e71257-43a5-481f-ba68-5a5900e5855d,d55f4dec-eab0-4877-aded-0315313bf6cf,RouteText,"Strip Header, Group by Gender",59e71257-43a5-481f-ba68-5a5900e5855d,org.apache.nifi.flowfile.FlowFile,48876,,,,,,,,,,,,192.168.0.109,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12689/content/output,http://192.168.0.109:8080/nifi-api/controller/provenance/events/12689/content/input,nifi,NiFi Flow,Auto-Terminated by original Relationship,/Users/wsong/Desktop/People csv/data/in/csv/,./,19a75a61-6ed5-405b-8661-ffdbd2832b5a.csv,staff,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,2016-08-09T17:07:41-0700,wsong,48876,rw-r--r--,59e71257-43a5-481f-ba68-5a5900e5855d,48876,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
